plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
KPJ1902,NY,PAS,5701171589,2024-11-12,03:13P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,TRANSIT AUTHORITY,HEARING HELD-GUILTY,,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,17,8,7,3
LSH9550,NY,OMS,5701171462,2024-11-12,02:58P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,5,7,6
KDP5751,NY,PAS,4939192532,2025-03-06,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
DME4119,NY,PAS,4939192635,2025-03-06,11:49A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
CWW8540,NY,PAS,4939192775,2025-03-06,11:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
F93STJ,NJ,PAS,2023092140,2025-04-12,02:07P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,102,Queens,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,12,5,2,1,115.0,115.0,0.0,1,3,16,8,0,6
JCA9920,NY,PAS,4939192805,2025-03-06,11:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
KVG1210,NY,PAS,4941170740,2025-03-22,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,75.0,75.0,0.0,0,0,17,8,1,6
KVU4271,NY,PAS,4049629290,2025-11-18,08:40A,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,11,18,1,4,0,50.0,50.0,0.0,0,3,17,8,1,6
KTX9436,NY,PAS,1498523110,2024-04-18,06:05P,DOUBLE PARKING,115.0,10.0,0.0,0.0,125.0,0.0,067,Brooklyn,POLICE DEPARTMENT,UNKNOWN,,2024,4,18,3,2,0,125.0,125.0,0.0,1,1,17,8,5,6
JPW6265,NY,PAS,4965446835,2025-09-19,05:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,1,17,8,1,6
JAL2810,NY,PAS,4966009870,2025-09-24,02:32P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,3,17,8,1,6
574846T,NJ,PAS,9043100882,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
LMH2308,PA,PAS,9043100900,2023-03-27,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,19,8,8,6
KFN7533,NY,PAS,4941170817,2025-03-22,11:55A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,1,17,8,1,6
RJ1618,NY,SRF,4941170878,2025-03-22,11:57A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,11,1,6
84841NA,NY,COM,4941171070,2025-03-22,12:05P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,1,1,6
T702069C,NY,OMT,5701172004,2024-11-12,04:06P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,6,7,6
LKR4865,NY,PAS,5701171899,2024-11-12,03:47P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
PYXA78,FL,PAS,4779900797,2022-05-17,09:42A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,16.23,0.0,91.23,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2022-08-11,2022,5,17,1,2,0,91.23,91.23,0.0,0,1,6,8,1,6
U23NDE,NJ,PAS,4939771015,2025-03-11,09:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,16,8,1,6
LTE2501,NY,PAS,4939192957,2025-03-06,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
74895MD,NY,COM,9196190693,2025-04-08,03:24P,EXPIRED MUNI METER,65.0,0.0,0.0,55.09999999999991,0.0,0.0,019,Manhattan,TRAFFIC,HEARING HELD-NOT GUILTY,,2025,4,8,1,2,0,65.0,-55.09999999999991,0.0,1,2,17,1,6,5
KND5283,NY,PAS,8991618546,2021-09-16,01:29P,INSP. STICKER-EXPIRED/MISSING,65.0,60.0,18.129699999999982,0.19,167.3,0.0,084,Brooklyn,TRAFFIC,UNKNOWN,2022-07-28,2021,9,16,3,3,0,143.12969999999999,167.11,0.0,1,1,17,8,6,6
LXE2535,NY,PAS,4965446847,2025-09-19,05:06P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,0,17,8,1,6
LAU5064,NY,PAS,4965446914,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,0,17,8,1,6
KWR3631,NY,PAS,4966009935,2025-09-24,02:34P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,8,1,6
F70UZE,NJ,PAS,4933805398,2025-01-14,03:40P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,1.24,0.06,76.18,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,2025-04-03,2025,1,14,1,1,0,76.24,76.12,0.0,0,0,16,8,1,6
KHG2159,NY,PAS,4965446926,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,4,17,8,1,6
Y102703C,NY,OMT,4965446963,2025-09-19,05:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,3,17,6,1,6
62912ML,NY,COM,4966009911,2025-09-24,02:33P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,1,1,6
E87RJH,NJ,PAS,4939771301,2025-03-11,09:51A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,16,8,1,6
Y14SFM,NJ,PAS,4939193627,2025-03-06,11:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
KUP1700,NY,PAS,5701172909,2024-11-12,06:22P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
LPJ9820,NY,PAS,5701172739,2024-11-12,05:46P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,3,17,8,7,6
