fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
50.0,25.0,17.48,92.46,0.0,92.48,92.44,0.0,2022,5,26,3,2,0,1,1,6,8,1
50.0,25.0,17.35,92.33,0.0,92.35,92.31,0.0,2022,6,2,3,2,0,3,1,6,8,1
50.0,25.0,12.48,87.42,0.0,87.48,87.36,0.0,2022,6,1,2,2,0,3,1,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,23,6,1,1,3,7,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,0,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,6,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,5,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,1,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,4,0
60.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,2025,4,19,5,2,1,2,6,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,22,1,2,0,2,6,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,22,5,1,1,3,1,6,6,0
50.0,25.0,17.48,92.46,0.0,92.48,92.44,0.0,2022,6,10,4,2,0,3,1,6,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,23,6,1,1,5,7,6,8,0
65.0,10.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,1,10,4,1,0,3,6,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,24,2,3,0,1,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,4,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,4,1,6,8,0
50.0,25.0,17.72,92.69,0.0,92.72,92.66,0.0,2022,6,13,0,2,0,3,1,6,8,1
50.0,25.0,0.0,50.0,0.0,75.0,25.0,0.0,2025,9,23,1,3,0,3,1,6,8,2
50.0,25.0,0.0,75.0,0.0,75.0,75.0,0.0,2025,9,23,1,3,0,3,1,6,8,2
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,9,19,4,3,0,0,1,6,8,2
