fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
65.0,30.0,0.0,0.0,95.0,0.0,2023,4,25,1,2,0,95.0,95.0,0.0,1,1,17,11,6,3
50.0,0.0,0.0,0.0,50.0,0.0,2025,1,16,3,1,0,50.0,50.0,0.0,0,1,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,6,8,1,6
50.0,25.0,4.13,0.07,79.06,0.0,2024,4,18,3,2,0,79.13,78.99000000000001,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,25.0,2.44,0.0,77.44,0.0,2024,12,6,4,4,0,77.44,77.44,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,6,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,6,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,25.0,2.52,0.13,77.39,0.0,2024,12,6,4,4,0,77.52,77.26,0.0,0,0,14,8,1,6
50.0,25.0,2.51,0.13,77.38,0.0,2024,11,17,6,4,1,77.51,77.25,0.0,0,3,17,8,1,6
35.0,0.0,0.0,0.0,35.0,0.0,2025,5,1,3,2,0,35.0,35.0,0.0,0,2,16,8,6,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,1,1,2
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,10,3,2,0,65.0,65.0,0.0,1,1,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,4,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,17,6,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,3,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,5,16,8,7,6
150.0,0.0,0.0,0.0,150.0,0.0,2024,11,13,2,4,0,150.0,150.0,0.0,1,5,17,8,7,3
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,13,2,4,0,50.0,50.0,0.0,0,2,16,8,7,6
50.0,25.0,2.19,0.07,77.12,0.0,2025,1,8,2,1,0,77.19,77.05000000000001,0.0,0,1,8,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,3,17,8,1,6
115.0,0.0,0.0,0.0,115.0,0.0,2025,4,9,2,2,0,115.0,115.0,0.0,1,2,17,1,6,6
50.0,25.0,1.86,0.13,76.73,0.0,2025,2,20,3,1,0,76.86,76.60000000000001,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,6,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,19,8,1,6
115.0,0.0,0.0,0.0,115.0,0.0,2025,4,14,0,2,0,115.0,115.0,0.0,1,3,16,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,3,17,1,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
35.0,0.0,0.0,0.0,35.0,0.0,2025,5,1,3,2,0,35.0,35.0,0.0,0,2,17,8,6,6
65.0,0.0,0.0,25.0,40.0,0.0,2025,5,2,4,2,0,65.0,15.0,0.0,1,2,17,1,6,4
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,1,15,2,1,0,50.0,50.0,0.0,0,1,17,6,7,3
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,1,19,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,6,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
